what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322523967279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322523969736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322523971872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524064102
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524081224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524090087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524091959
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524093647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524096076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524103223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524152473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524154411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524158319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1322524161156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322524165751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524173761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524183781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524187343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524212835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1322524216641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524220277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524222174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524222723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524263135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322524265969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322524266580
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524272508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524276029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524276770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322524281821
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524287337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322524312008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322524314302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524334475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524367522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322524368916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322524369907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524370920
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524381278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322524383759
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524386719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322524396044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524412164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524416520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322524424283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322524430372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322524432346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524435884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524470520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524472112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524482478
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524501906
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524538836
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524544885
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1322524552916
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322524574905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322524579553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524581071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322524823459
